District,Zone,Geographical Region,Development Region,Project_title,Sector,Amount_thousandsNPR
Arghakhanchi,Lumbini,Hill,Western,Integrated District Health Program,"Health, Nutrition and Population",67210.0
Arghakhanchi,Lumbini,Hill,Western,Tuberculosis Control,"Health, Nutrition and Population",1809.0
Arghakhanchi,Lumbini,Hill,Western,Ayurveda Service Program,"Health, Nutrition and Population",2835.0
Arghakhanchi,Lumbini,Hill,Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",5000.0
Arghakhanchi,Lumbini,Hill,Western,National Training Program,"Health, Nutrition and Population",120.0
Arghakhanchi,Lumbini,Hill,Western,National Forest Development & Management Program,Forest and Land Conservation,1043.0
Arghakhanchi,Lumbini,Hill,Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,2416.0
Arghakhanchi,Lumbini,Hill,Western,District Soil Erosion Program,Forest and Land Conservation,8731.0
Arghakhanchi,Lumbini,Hill,Western,Agricultural Extension Program,Farm and Food Security,18300.0
Arghakhanchi,Lumbini,Hill,Western,Integrated Water Resource Management Project,Farm and Food Security,1247.0
Arghakhanchi,Lumbini,Hill,Western,Soil Test Service Program,Farm and Food Security,1325.0
Arghakhanchi,Lumbini,Hill,Western,Fishery Development Program,Farm and Food Security,300.0
Arghakhanchi,Lumbini,Hill,Western,Crop Development Program,Farm and Food Security,1143.0
Arghakhanchi,Lumbini,Hill,Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,5516.0
Arghakhanchi,Lumbini,Hill,Western,Livestock Service Extension Program,Farm and Food Security,14508.0
Arghakhanchi,Lumbini,Hill,Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,1200.0
Arghakhanchi,Lumbini,Hill,Western,Community Livestock Development Project,Farm and Food Security,2454.0
Arghakhanchi,Lumbini,Hill,Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,1504.0
Arghakhanchi,Lumbini,Hill,Western,Veterinary Health Service Program,Farm and Food Security,373.0
Baglung,Dhawalagiri,Hill,Western,Non-formal Education & National Literacy Campaign,Education,14398.36
Baglung,Dhawalagiri,Hill,Western,School Sector Reform Program,Education,227416.0
Baglung,Dhawalagiri,Hill,Western,Integrated District Health Program,"Health, Nutrition and Population",151710.0
Baglung,Dhawalagiri,Hill,Western,Tuberculosis Control,"Health, Nutrition and Population",2088.0
Baglung,Dhawalagiri,Hill,Western,Ayurveda Service Program,"Health, Nutrition and Population",2835.0
Baglung,Dhawalagiri,Hill,Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",6000.0
Baglung,Dhawalagiri,Hill,Western,National Training Program,"Health, Nutrition and Population",150.0
Baglung,Dhawalagiri,Hill,Western,National Forest Development & Management Program,Forest and Land Conservation,3030.0
Baglung,Dhawalagiri,Hill,Western,Multi Stakeholders Forestry Program,Forest and Land Conservation,10350.0
Baglung,Dhawalagiri,Hill,Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,668.5
Baglung,Dhawalagiri,Hill,Western,District Soil Erosion Program,Forest and Land Conservation,6428.0
Baglung,Dhawalagiri,Hill,Western,Community Development and Forest-Watershed Protection Project,Forest and Land Conservation,7297.0
Baglung,Dhawalagiri,Hill,Western,Wildlife Conservation Program,Forest and Land Conservation,17194.0
Baglung,Dhawalagiri,Hill,Western,Agricultural Extension Program,Farm and Food Security,19100.0
Baglung,Dhawalagiri,Hill,Western,Integrated Water Resource Management Project,Farm and Food Security,1127.0
Baglung,Dhawalagiri,Hill,Western,Soil Test Service Program,Farm and Food Security,1325.0
Baglung,Dhawalagiri,Hill,Western,Fishery Development Program,Farm and Food Security,725.0
Baglung,Dhawalagiri,Hill,Western,Crop Development Program,Farm and Food Security,1113.0
Baglung,Dhawalagiri,Hill,Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,5361.0
Baglung,Dhawalagiri,Hill,Western,Horiculture Development Program,Farm and Food Security,575.0
Baglung,Dhawalagiri,Hill,Western,Livestock Service Extension Program,Farm and Food Security,16765.0
Baglung,Dhawalagiri,Hill,Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,900.0
Baglung,Dhawalagiri,Hill,Western,Community Livestock Development Project,Farm and Food Security,3448.0
Baglung,Dhawalagiri,Hill,Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,2784.0
Baglung,Dhawalagiri,Hill,Western,Veterinary Health Service Program,Farm and Food Security,291.0
Baitadi,Mahakali,Hill,Far-Western,Non-formal Education & National Literacy Campaign,Education,20301.18
Baitadi,Mahakali,Hill,Far-Western,School Sector Reform Program,Education,244344.0
Baitadi,Mahakali,Hill,Far-Western,Integrated District Health Program,"Health, Nutrition and Population",93299.0
Baitadi,Mahakali,Hill,Far-Western,Tuberculosis Control,"Health, Nutrition and Population",2470.0
Baitadi,Mahakali,Hill,Far-Western,Ayurveda Service Program,"Health, Nutrition and Population",2635.0
Baitadi,Mahakali,Hill,Far-Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",4000.0
Baitadi,Mahakali,Hill,Far-Western,National Training Program,"Health, Nutrition and Population",150.0
Baitadi,Mahakali,Hill,Far-Western,Herbs Development Program (Including Karnali Processing Center),Forest and Land Conservation,2426.0
Baitadi,Mahakali,Hill,Far-Western,National Forest Development & Management Program,Forest and Land Conservation,507.0
Baitadi,Mahakali,Hill,Far-Western,Leasehold Forest & Livestock Development Program,Forest and Land Conservation,2438.9
Baitadi,Mahakali,Hill,Far-Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,2365.0
Baitadi,Mahakali,Hill,Far-Western,District Soil Erosion Program,Forest and Land Conservation,9225.0
Baitadi,Mahakali,Hill,Far-Western,Agricultural Extension Program,Farm and Food Security,18200.0
Baitadi,Mahakali,Hill,Far-Western,Integrated Water Resource Management Project,Farm and Food Security,1087.0
Baitadi,Mahakali,Hill,Far-Western,Soil Test Service Program,Farm and Food Security,1325.0
Baitadi,Mahakali,Hill,Far-Western,Crop Development Program,Farm and Food Security,875.0
Baitadi,Mahakali,Hill,Far-Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,1308.0
Baitadi,Mahakali,Hill,Far-Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,3682.0
Baitadi,Mahakali,Hill,Far-Western,Horiculture Development Program,Farm and Food Security,23828.0
Baitadi,Mahakali,Hill,Far-Western,Crop Protection and Pesticide Development,Farm and Food Security,1123.0
Baitadi,Mahakali,Hill,Far-Western,Livestock Service Extension Program,Farm and Food Security,16065.0
Baitadi,Mahakali,Hill,Far-Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,300.0
Baitadi,Mahakali,Hill,Far-Western,Community Livestock Development Project,Farm and Food Security,2070.0
Baitadi,Mahakali,Hill,Far-Western,Hill Leasehold Forestry Project (Livestock Development),Farm and Food Security,778.0
Baitadi,Mahakali,Hill,Far-Western,Veterinary Health Service Program,Farm and Food Security,477.0
Bajhang,Seti,Mountain,Far-Western,Non-formal Education & National Literacy Campaign,Education,19289.55
Bajhang,Seti,Mountain,Far-Western,School Sector Reform Program,Education,185452.0
Bajhang,Seti,Mountain,Far-Western,Integrated District Health Program,"Health, Nutrition and Population",90590.0
Bajhang,Seti,Mountain,Far-Western,Tuberculosis Control,"Health, Nutrition and Population",3164.0
Bajhang,Seti,Mountain,Far-Western,Ayurveda Service Program,"Health, Nutrition and Population",2670.0
Bajhang,Seti,Mountain,Far-Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",4000.0
Bajhang,Seti,Mountain,Far-Western,National Training Program,"Health, Nutrition and Population",150.0
Bajhang,Seti,Mountain,Far-Western,National Forest Development & Management Program,Forest and Land Conservation,320.0
Bajhang,Seti,Mountain,Far-Western,Multi Stakeholders Forestry Program,Forest and Land Conservation,10236.0
Bajhang,Seti,Mountain,Far-Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,317.0
Bajhang,Seti,Mountain,Far-Western,Agricultural Extension Program,Farm and Food Security,18200.0
Bajhang,Seti,Mountain,Far-Western,Integrated Water Resource Management Project,Farm and Food Security,1010.0
Bajhang,Seti,Mountain,Far-Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,6187.0
Bajhang,Seti,Mountain,Far-Western,Livestock Service Extension Program,Farm and Food Security,16819.0
Bajhang,Seti,Mountain,Far-Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,300.0
Bajhang,Seti,Mountain,Far-Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,883.0
Bajhang,Seti,Mountain,Far-Western,Veterinary Health Service Program,Farm and Food Security,395.0
Bajura,Seti,Mountain,Far-Western,Non-formal Education & National Literacy Campaign,Education,13036.41
Bajura,Seti,Mountain,Far-Western,School Sector Reform Program,Education,123634.0
Bajura,Seti,Mountain,Far-Western,Integrated District Health Program,"Health, Nutrition and Population",94004.0
Bajura,Seti,Mountain,Far-Western,Tuberculosis Control,"Health, Nutrition and Population",1884.0
Bajura,Seti,Mountain,Far-Western,Ayurveda Service Program,"Health, Nutrition and Population",2635.0
Bajura,Seti,Mountain,Far-Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",4000.0
Bajura,Seti,Mountain,Far-Western,National Training Program,"Health, Nutrition and Population",150.0
Bajura,Seti,Mountain,Far-Western,National Forest Development & Management Program,Forest and Land Conservation,370.0
Bajura,Seti,Mountain,Far-Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,2031.0
Bajura,Seti,Mountain,Far-Western,Agricultural Extension Program,Farm and Food Security,17700.0
Bajura,Seti,Mountain,Far-Western,Integrated Water Resource Management Project,Farm and Food Security,762.0
Bajura,Seti,Mountain,Far-Western,Fishery Development Program,Farm and Food Security,348.0
Bajura,Seti,Mountain,Far-Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,1051.0
Bajura,Seti,Mountain,Far-Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,6608.0
Bajura,Seti,Mountain,Far-Western,Livestock Service Extension Program,Farm and Food Security,15562.0
Bajura,Seti,Mountain,Far-Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,400.0
Bajura,Seti,Mountain,Far-Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,883.0
Bajura,Seti,Mountain,Far-Western,Veterinary Health Service Program,Farm and Food Security,395.0
Banke,Bheri,Terai,Mid-Western,Non-formal Education & National Literacy Campaign,Education,15043.32
Banke,Bheri,Terai,Mid-Western,School Sector Reform Program,Education,233022.0
Banke,Bheri,Terai,Mid-Western,Integrated District Health Program,"Health, Nutrition and Population",184832.0
Banke,Bheri,Terai,Mid-Western,Tuberculosis Control,"Health, Nutrition and Population",2370.0
Banke,Bheri,Terai,Mid-Western,Ayurveda Service Program,"Health, Nutrition and Population",2935.0
Banke,Bheri,Terai,Mid-Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",6000.0
Banke,Bheri,Terai,Mid-Western,National Training Program,"Health, Nutrition and Population",150.0
Banke,Bheri,Terai,Mid-Western,National Forest Development & Management Program,Forest and Land Conservation,3341.0
Banke,Bheri,Terai,Mid-Western,Strengthening Regional Co-Operation for Wildlife Protection Project,Forest and Land Conservation,8382.0
Banke,Bheri,Terai,Mid-Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,3200.0
Banke,Bheri,Terai,Mid-Western,Herbs Development Program (Including Karnali Processing Center),Forest and Land Conservation,1572.0
Banke,Bheri,Terai,Mid-Western,Botanical Study & Research Program,Forest and Land Conservation,776.0
Banke,Bheri,Terai,Mid-Western,Botanical Conservation & Park Development Project,Forest and Land Conservation,712.0
Banke,Bheri,Terai,Mid-Western,Botanical Utilization & Marketing Program,Forest and Land Conservation,1022.0
Banke,Bheri,Terai,Mid-Western,Nepal Trade Interpretation Strategy - Forestry,Forest and Land Conservation,1000.0
Banke,Bheri,Terai,Mid-Western,Wildlife Conservation Project,Forest and Land Conservation,9075.0
Banke,Bheri,Terai,Mid-Western,Agricultural Extension Program,Farm and Food Security,20700.0
Banke,Bheri,Terai,Mid-Western,Integrated Water Resource Management Project,Farm and Food Security,1860.0
Banke,Bheri,Terai,Mid-Western,Soil Test Service Program,Farm and Food Security,8392.0
Banke,Bheri,Terai,Mid-Western,Fishery Development Program,Farm and Food Security,16278.0
Banke,Bheri,Terai,Mid-Western,Crop Development Program,Farm and Food Security,13265.0
Banke,Bheri,Terai,Mid-Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,3068.0
Banke,Bheri,Terai,Mid-Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,4886.0
Banke,Bheri,Terai,Mid-Western,Horiculture Development Program,Farm and Food Security,700.0
Banke,Bheri,Terai,Mid-Western,Crop Protection and Pesticide Development,Farm and Food Security,13519.0
Banke,Bheri,Terai,Mid-Western,Agriculture Extension & Training Program,Farm and Food Security,24095.0
Banke,Bheri,Terai,Mid-Western,Livestock Service Extension Program,Farm and Food Security,16423.0
Banke,Bheri,Terai,Mid-Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,1500.0
Banke,Bheri,Terai,Mid-Western,Livestock Development Farms,Farm and Food Security,41688.0
Banke,Bheri,Terai,Mid-Western,Community Livestock Development Project,Farm and Food Security,3568.0
Banke,Bheri,Terai,Mid-Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,12307.0
Banke,Bheri,Terai,Mid-Western,Livestock Training Program,Farm and Food Security,8131.0
Banke,Bheri,Terai,Mid-Western,Veterinary Health Service Program,Farm and Food Security,6173.0
Banke,Bheri,Terai,Mid-Western,Food Nutrition and Technology Program,Farm and Food Security,6959.0
Bara,Narayani,Terai,Central,Non-formal Education & National Literacy Campaign,Education,15625.8
Bara,Narayani,Terai,Central,School Sector Reform Program,Education,303122.0
Bara,Narayani,Terai,Central,Integrated District Health Program,"Health, Nutrition and Population",133297.0
Bara,Narayani,Terai,Central,Tuberculosis Control,"Health, Nutrition and Population",2518.0
Bara,Narayani,Terai,Central,Ayurveda Service Program,"Health, Nutrition and Population",2865.0
Bara,Narayani,Terai,Central,National Health Education Information & Communication Service,"Health, Nutrition and Population",6000.0
Bara,Narayani,Terai,Central,National Training Program,"Health, Nutrition and Population",150.0
Bara,Narayani,Terai,Central,National Forest Development & Management Program,Forest and Land Conservation,16340.0
Bara,Narayani,Terai,Central,Strengthening Regional Co-Operation for Wildlife Protection Project,Forest and Land Conservation,615.0
Bara,Narayani,Terai,Central,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,2042.0
Bara,Narayani,Terai,Central,District Soil Erosion Program,Forest and Land Conservation,10069.0
Bara,Narayani,Terai,Central,Agricultural Extension Program,Farm and Food Security,21000.0
Bara,Narayani,Terai,Central,Integrated Water Resource Management Project,Farm and Food Security,912.0
Bara,Narayani,Terai,Central,Fishery Development Program,Farm and Food Security,8739.0
Bara,Narayani,Terai,Central,Crop Development Program,Farm and Food Security,1296.0
Bara,Narayani,Terai,Central,"Potato, Vegetable & Spices Development Program",Farm and Food Security,173.0
Bara,Narayani,Terai,Central,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,4692.0
Bara,Narayani,Terai,Central,Crop Protection and Pesticide Development,Farm and Food Security,1450.0
Bara,Narayani,Terai,Central,Livestock Service Extension Program,Farm and Food Security,17915.0
Bara,Narayani,Terai,Central,Livestock and Bird's Market Promotion Program,Farm and Food Security,1450.0
Bara,Narayani,Terai,Central,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,2679.0
Bara,Narayani,Terai,Central,Veterinary Health Service Program,Farm and Food Security,320.0
Bardiya,Bheri,Terai,Mid-Western,Non-formal Education & National Literacy Campaign,Education,22766.34
Bardiya,Bheri,Terai,Mid-Western,School Sector Reform Program,Education,241026.0
Bardiya,Bheri,Terai,Mid-Western,Integrated District Health Program,"Health, Nutrition and Population",103197.0
Bardiya,Bheri,Terai,Mid-Western,Tuberculosis Control,"Health, Nutrition and Population",1967.0
Bardiya,Bheri,Terai,Mid-Western,Ayurveda Service Program,"Health, Nutrition and Population",2670.0
Bardiya,Bheri,Terai,Mid-Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",6000.0
Bardiya,Bheri,Terai,Mid-Western,National Training Program,"Health, Nutrition and Population",150.0
Bardiya,Bheri,Terai,Mid-Western,National Forest Development & Management Program,Forest and Land Conservation,4440.0
Bardiya,Bheri,Terai,Mid-Western,Strengthening Regional Co-Operation for Wildlife Protection Project,Forest and Land Conservation,7079.0
Bardiya,Bheri,Terai,Mid-Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,3101.0
Bardiya,Bheri,Terai,Mid-Western,Wildlife Conservation Project,Forest and Land Conservation,27973.0
Bardiya,Bheri,Terai,Mid-Western,Agricultural Extension Program,Farm and Food Security,21600.0
Bardiya,Bheri,Terai,Mid-Western,Integrated Water Resource Management Project,Farm and Food Security,1535.0
Bardiya,Bheri,Terai,Mid-Western,Fishery Development Program,Farm and Food Security,3170.0
Bardiya,Bheri,Terai,Mid-Western,Crop Development Program,Farm and Food Security,2534.0
Bardiya,Bheri,Terai,Mid-Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,3268.0
Bardiya,Bheri,Terai,Mid-Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,4886.0
Bardiya,Bheri,Terai,Mid-Western,Horiculture Development Program,Farm and Food Security,700.0
Bardiya,Bheri,Terai,Mid-Western,Crop Protection and Pesticide Development,Farm and Food Security,1250.0
Bardiya,Bheri,Terai,Mid-Western,Livestock Service Extension Program,Farm and Food Security,16743.0
Bardiya,Bheri,Terai,Mid-Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,2850.0
Bardiya,Bheri,Terai,Mid-Western,Community Livestock Development Project,Farm and Food Security,3568.0
Bardiya,Bheri,Terai,Mid-Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,3383.0
Bardiya,Bheri,Terai,Mid-Western,Veterinary Health Service Program,Farm and Food Security,624.0
Bhaktapur,Bagmati,Hill,Central,Non-formal Education & National Literacy Campaign,Education,1927.29
Bhaktapur,Bagmati,Hill,Central,School Sector Reform Program,Education,118003.0
Bhaktapur,Bagmati,Hill,Central,Integrated District Health Program,"Health, Nutrition and Population",92079.0
Bhaktapur,Bagmati,Hill,Central,Tuberculosis Control,"Health, Nutrition and Population",2030.0
Bhaktapur,Bagmati,Hill,Central,Ayurveda Service Program,"Health, Nutrition and Population",10535.0
Bhaktapur,Bagmati,Hill,Central,National Health Education Information & Communication Service,"Health, Nutrition and Population",4000.0
Bhaktapur,Bagmati,Hill,Central,National Training Program,"Health, Nutrition and Population",150.0
Bhaktapur,Bagmati,Hill,Central,National Forest Development & Management Program,Forest and Land Conservation,990.0
Bhaktapur,Bagmati,Hill,Central,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,1896.0
Bhaktapur,Bagmati,Hill,Central,Agricultural Extension Program,Farm and Food Security,18300.0
Bhaktapur,Bagmati,Hill,Central,Soil Test Service Program,Farm and Food Security,530.0
Bhaktapur,Bagmati,Hill,Central,Sericulture Development Program,Farm and Food Security,5136.0
Bhaktapur,Bagmati,Hill,Central,Crop Development Program,Farm and Food Security,488.0
Bhaktapur,Bagmati,Hill,Central,"Potato, Vegetable & Spices Development Program",Farm and Food Security,1900.0
Bhaktapur,Bagmati,Hill,Central,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,6136.0
Bhaktapur,Bagmati,Hill,Central,Horiculture Development Program,Farm and Food Security,564.0
Bhaktapur,Bagmati,Hill,Central,Livestock Service Extension Program,Farm and Food Security,14375.0
Bhaktapur,Bagmati,Hill,Central,Livestock and Bird's Market Promotion Program,Farm and Food Security,1000.0
Bhaktapur,Bagmati,Hill,Central,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,1015.0
Bhaktapur,Bagmati,Hill,Central,Veterinary Health Service Program,Farm and Food Security,626.0
Bhojpur,Kosi,Hill,Eastern,Non-formal Education & National Literacy Campaign,Education,9545.62
Bhojpur,Kosi,Hill,Eastern,School Sector Reform Program,Education,172041.0
Bhojpur,Kosi,Hill,Eastern,Integrated District Health Program,"Health, Nutrition and Population",92326.9
Bhojpur,Kosi,Hill,Eastern,Tuberculosis Control,"Health, Nutrition and Population",1983.0
Bhojpur,Kosi,Hill,Eastern,Ayurveda Service Program,"Health, Nutrition and Population",2870.0
Bhojpur,Kosi,Hill,Eastern,National Health Education Information & Communication Service,"Health, Nutrition and Population",4200.0
Bhojpur,Kosi,Hill,Eastern,National Training Program,"Health, Nutrition and Population",150.0
Bhojpur,Kosi,Hill,Eastern,National Forest Development & Management Program,Forest and Land Conservation,2820.0
Bhojpur,Kosi,Hill,Eastern,Leasehold Forest & Livestock Development Program,Forest and Land Conservation,2484.0
Bhojpur,Kosi,Hill,Eastern,Multi Stakeholders Forestry Program,Forest and Land Conservation,13413.0
Bhojpur,Kosi,Hill,Eastern,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,682.5
Bhojpur,Kosi,Hill,Eastern,District Soil Erosion Program,Forest and Land Conservation,8975.0
Bhojpur,Kosi,Hill,Eastern,Agricultural Extension Program,Farm and Food Security,18100.0
Bhojpur,Kosi,Hill,Eastern,Soil Test Service Program,Farm and Food Security,1325.0
Bhojpur,Kosi,Hill,Eastern,Crop Development Program,Farm and Food Security,1138.0
Bhojpur,Kosi,Hill,Eastern,"Potato, Vegetable & Spices Development Program",Farm and Food Security,1257.0
Bhojpur,Kosi,Hill,Eastern,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,11303.0
Bhojpur,Kosi,Hill,Eastern,Horiculture Development Program,Farm and Food Security,392.0
Bhojpur,Kosi,Hill,Eastern,Livestock Service Extension Program,Farm and Food Security,15535.0
Bhojpur,Kosi,Hill,Eastern,Livestock and Bird's Market Promotion Program,Farm and Food Security,1800.0
Bhojpur,Kosi,Hill,Eastern,Hill Leasehold Forestry Project (Livestock Development),Farm and Food Security,738.0
Bhojpur,Kosi,Hill,Eastern,Veterinary Health Service Program,Farm and Food Security,525.0
Chitawan,Narayani,Terai,Central,Non-formal Education & National Literacy Campaign,Education,25269.73
Chitawan,Narayani,Terai,Central,School Sector Reform Program,Education,240273.0
Chitawan,Narayani,Terai,Central,Integrated District Health Program,"Health, Nutrition and Population",136607.0
Chitawan,Narayani,Terai,Central,Tuberculosis Control,"Health, Nutrition and Population",2626.0
Chitawan,Narayani,Terai,Central,Ayurveda Service Program,"Health, Nutrition and Population",3035.0
Chitawan,Narayani,Terai,Central,National Health Education Information & Communication Service,"Health, Nutrition and Population",6000.0
Chitawan,Narayani,Terai,Central,National Training Program,"Health, Nutrition and Population",150.0
Chitawan,Narayani,Terai,Central,National Forest Development & Management Program,Forest and Land Conservation,4138.0
Chitawan,Narayani,Terai,Central,Leasehold Forest & Livestock Development Program,Forest and Land Conservation,2885.0
Chitawan,Narayani,Terai,Central,Strengthening Regional Co-Operation for Wildlife Protection Project,Forest and Land Conservation,9098.0
Chitawan,Narayani,Terai,Central,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,3603.0
Chitawan,Narayani,Terai,Central,Wildlife Conservation Project,Forest and Land Conservation,36760.0
Chitawan,Narayani,Terai,Central,Multi Stakeholders Forestry Program,Forest and Land Conservation,2400.0
Chitawan,Narayani,Terai,Central,Agricultural Extension Program,Farm and Food Security,21000.0
Chitawan,Narayani,Terai,Central,Vocational Insect Development,Farm and Food Security,10984.0
Chitawan,Narayani,Terai,Central,Sericulture Development Program,Farm and Food Security,17288.0
Chitawan,Narayani,Terai,Central,Fishery Development Program,Farm and Food Security,17607.0
Chitawan,Narayani,Terai,Central,Crop Development Program,Farm and Food Security,3482.0
Chitawan,Narayani,Terai,Central,"Potato, Vegetable & Spices Development Program",Farm and Food Security,3288.0
Chitawan,Narayani,Terai,Central,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,4888.0
Chitawan,Narayani,Terai,Central,Horiculture Development Program,Farm and Food Security,564.0
Chitawan,Narayani,Terai,Central,Crop Protection and Pesticide Development,Farm and Food Security,1850.0
Chitawan,Narayani,Terai,Central,Livestock Service Extension Program,Farm and Food Security,19308.0
Chitawan,Narayani,Terai,Central,Livestock and Bird's Market Promotion Program,Farm and Food Security,2500.0
Chitawan,Narayani,Terai,Central,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,6664.0
Chitawan,Narayani,Terai,Central,Hill Leasehold Forestry Project (Livestock Development),Farm and Food Security,1581.0
Chitawan,Narayani,Terai,Central,Veterinary Health Service Program,Farm and Food Security,9220.0
Dadeldhura,Mahakali,Hill,Far-Western,Non-formal Education & National Literacy Campaign,Education,1948.12
Dadeldhura,Mahakali,Hill,Far-Western,School Sector Reform Program,Education,133952.0
Dadeldhura,Mahakali,Hill,Far-Western,Integrated District Health Program,"Health, Nutrition and Population",76140.0
Dadeldhura,Mahakali,Hill,Far-Western,Tuberculosis Control,"Health, Nutrition and Population",1841.0
Dadeldhura,Mahakali,Hill,Far-Western,Ayurveda Service Program,"Health, Nutrition and Population",4170.0
Dadeldhura,Mahakali,Hill,Far-Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",4000.0
