District,Zone,Geographical Region,Development Region,Categories,Values
Nuwakot,Bagmati,Hill,Central,Population 2011,277471.0
Nuwakot,Bagmati,Hill,Central,Total Area  in Sq.km,1121.0
Nuwakot,Bagmati,Hill,Central,Type of Road Black Topped,94.71
Nuwakot,Bagmati,Hill,Central,Type of Road Graveled ,21.0
Nuwakot,Bagmati,Hill,Central,Type of Road Earthern,25.0
Nuwakot,Bagmati,Hill,Central,Total Road,140.71
Nuwakot,Bagmati,Hill,Central,Population Influence per km Road,1972.0
Nuwakot,Bagmati,Hill,Central,Road Density (km./100 sq.km.),13.0
Rasuwa,Bagmati,Mountain,Central,Population 2011,43300.0
Rasuwa,Bagmati,Mountain,Central,Total Area  in Sq.km,1544.0
Rasuwa,Bagmati,Mountain,Central,Type of Road Black Topped,0.0
Rasuwa,Bagmati,Mountain,Central,Type of Road Graveled ,50.5
Rasuwa,Bagmati,Mountain,Central,Type of Road Earthern,15.7
Rasuwa,Bagmati,Mountain,Central,Total Road,66.2
Rasuwa,Bagmati,Mountain,Central,Population Influence per km Road,654.0
Rasuwa,Bagmati,Mountain,Central,Road Density (km./100 sq.km.),4.0
Dhading,Bagmati,Hill,Central,Population 2011,336067.0
Dhading,Bagmati,Hill,Central,Total Area  in Sq.km,1926.0
Dhading,Bagmati,Hill,Central,Type of Road Black Topped,114.88
Dhading,Bagmati,Hill,Central,Type of Road Graveled ,20.0
Dhading,Bagmati,Hill,Central,Type of Road Earthern,30.2
Dhading,Bagmati,Hill,Central,Total Road,165.08
Dhading,Bagmati,Hill,Central,Population Influence per km Road,2036.0
Dhading,Bagmati,Hill,Central,Road Density (km./100 sq.km.),9.0
Makwanpur,Narayani,Hill,Central,Population 2011,420477.0
Makwanpur,Narayani,Hill,Central,Total Area  in Sq.km,2426.0
Makwanpur,Narayani,Hill,Central,Type of Road Black Topped,174.97
Makwanpur,Narayani,Hill,Central,Type of Road Graveled ,44.57
Makwanpur,Narayani,Hill,Central,Type of Road Earthern,70.2
Makwanpur,Narayani,Hill,Central,Total Road,289.74
Makwanpur,Narayani,Hill,Central,Population Influence per km Road,1451.0
Makwanpur,Narayani,Hill,Central,Road Density (km./100 sq.km.),12.0
Rautahat,Narayani,Terai,Central,Population 2011,686722.0
Rautahat,Narayani,Terai,Central,Total Area  in Sq.km,1126.0
Rautahat,Narayani,Terai,Central,Type of Road Black Topped,71.83
Rautahat,Narayani,Terai,Central,Type of Road Graveled ,9.0
Rautahat,Narayani,Terai,Central,Type of Road Earthern,7.0
Rautahat,Narayani,Terai,Central,Total Road,87.83
Rautahat,Narayani,Terai,Central,Population Influence per km Road,7819.0
Rautahat,Narayani,Terai,Central,Road Density (km./100 sq.km.),8.0
Bara,Narayani,Terai,Central,Population 2011,687708.0
Bara,Narayani,Terai,Central,Total Area  in Sq.km,1190.0
Bara,Narayani,Terai,Central,Type of Road Black Topped,83.34
Bara,Narayani,Terai,Central,Type of Road Graveled ,68.0
Bara,Narayani,Terai,Central,Type of Road Earthern,16.0
Bara,Narayani,Terai,Central,Total Road,167.34
Bara,Narayani,Terai,Central,Population Influence per km Road,4110.0
Bara,Narayani,Terai,Central,Road Density (km./100 sq.km.),14.0
Parsa,Narayani,Terai,Central,Population 2011,601017.0
Parsa,Narayani,Terai,Central,Total Area  in Sq.km,1353.0
Parsa,Narayani,Terai,Central,Type of Road Black Topped,30.61
Parsa,Narayani,Terai,Central,Type of Road Graveled ,13.0
Parsa,Narayani,Terai,Central,Type of Road Earthern,2.0
Parsa,Narayani,Terai,Central,Total Road,45.61
Parsa,Narayani,Terai,Central,Population Influence per km Road,13177.0
Parsa,Narayani,Terai,Central,Road Density (km./100 sq.km.),3.0
Chitawan,Narayani,Terai,Central,Population 2011,579984.0
Chitawan,Narayani,Terai,Central,Total Area  in Sq.km,2218.0
Chitawan,Narayani,Terai,Central,Type of Road Black Topped,136.25
Chitawan,Narayani,Terai,Central,Type of Road Graveled ,54.0
Chitawan,Narayani,Terai,Central,Type of Road Earthern,39.0
Chitawan,Narayani,Terai,Central,Total Road,229.25
Chitawan,Narayani,Terai,Central,Population Influence per km Road,2530.0
Chitawan,Narayani,Terai,Central,Road Density (km./100 sq.km.),10.0
Gorkha,Gandaki,Hill,Western,Population 2011,271061.0
Gorkha,Gandaki,Hill,Western,Total Area  in Sq.km,3610.0
Gorkha,Gandaki,Hill,Western,Type of Road Black Topped,23.84
Gorkha,Gandaki,Hill,Western,Type of Road Graveled ,34.0
Gorkha,Gandaki,Hill,Western,Type of Road Earthern,119.4
Gorkha,Gandaki,Hill,Western,Total Road,177.24
Gorkha,Gandaki,Hill,Western,Population Influence per km Road,1529.0
Gorkha,Gandaki,Hill,Western,Road Density (km./100 sq.km.),5.0
Lamjung,Gandaki,Hill,Western,Population 2011,167724.0
Lamjung,Gandaki,Hill,Western,Total Area  in Sq.km,1692.0
Lamjung,Gandaki,Hill,Western,Type of Road Black Topped,19.17
Lamjung,Gandaki,Hill,Western,Type of Road Graveled ,1.0
Lamjung,Gandaki,Hill,Western,Type of Road Earthern,51.87
Lamjung,Gandaki,Hill,Western,Total Road,72.04
Lamjung,Gandaki,Hill,Western,Population Influence per km Road,2328.0
Lamjung,Gandaki,Hill,Western,Road Density (km./100 sq.km.),4.0
Tanahu,Gandaki,Hill,Western,Population 2011,323288.0
Tanahu,Gandaki,Hill,Western,Total Area  in Sq.km,1546.0
Tanahu,Gandaki,Hill,Western,Type of Road Black Topped,118.09
Tanahu,Gandaki,Hill,Western,Type of Road Graveled ,9.32
Tanahu,Gandaki,Hill,Western,Type of Road Earthern,34.08
Tanahu,Gandaki,Hill,Western,Total Road,161.49
Tanahu,Gandaki,Hill,Western,Population Influence per km Road,2002.0
Tanahu,Gandaki,Hill,Western,Road Density (km./100 sq.km.),10.0
Syangja,Gandaki,Hill,Western,Population 2011,289148.0
Syangja,Gandaki,Hill,Western,Total Area  in Sq.km,1164.0
Syangja,Gandaki,Hill,Western,Type of Road Black Topped,97.94
Syangja,Gandaki,Hill,Western,Type of Road Graveled ,10.0
Syangja,Gandaki,Hill,Western,Type of Road Earthern,57.0
Syangja,Gandaki,Hill,Western,Total Road,164.94
Syangja,Gandaki,Hill,Western,Population Influence per km Road,1753.0
Syangja,Gandaki,Hill,Western,Road Density (km./100 sq.km.),14.0
Kaski,Gandaki,Hill,Western,Population 2011,492098.0
Kaski,Gandaki,Hill,Western,Total Area  in Sq.km,2017.0
Kaski,Gandaki,Hill,Western,Type of Road Black Topped,87.46
Kaski,Gandaki,Hill,Western,Type of Road Graveled ,5.0
Kaski,Gandaki,Hill,Western,Type of Road Earthern,20.5
Kaski,Gandaki,Hill,Western,Total Road,112.96
Kaski,Gandaki,Hill,Western,Population Influence per km Road,4356.0
Kaski,Gandaki,Hill,Western,Road Density (km./100 sq.km.),6.0
Manang,Gandaki,Mountain,Western,Population 2011,6538.0
Manang,Gandaki,Mountain,Western,Total Area  in Sq.km,2246.0
Manang,Gandaki,Mountain,Western,Type of Road Black Topped,0.0
Manang,Gandaki,Mountain,Western,Type of Road Graveled ,0.0
Manang,Gandaki,Mountain,Western,Type of Road Earthern,29.0
Manang,Gandaki,Mountain,Western,Total Road,29.0
Manang,Gandaki,Mountain,Western,Population Influence per km Road,225.0
Manang,Gandaki,Mountain,Western,Road Density (km./100 sq.km.),1.0
Mustang,Dhawalagiri,Mountain,Western,Population 2011,13452.0
Mustang,Dhawalagiri,Mountain,Western,Total Area  in Sq.km,3573.0
Mustang,Dhawalagiri,Mountain,Western,Type of Road Black Topped,0.0
Mustang,Dhawalagiri,Mountain,Western,Type of Road Graveled ,0.0
Mustang,Dhawalagiri,Mountain,Western,Type of Road Earthern,59.0
Mustang,Dhawalagiri,Mountain,Western,Total Road,59.0
Mustang,Dhawalagiri,Mountain,Western,Population Influence per km Road,228.0
Mustang,Dhawalagiri,Mountain,Western,Road Density (km./100 sq.km.),2.0
Myagdi,Dhawalagiri,Hill,Western,Population 2011,113641.0
Myagdi,Dhawalagiri,Hill,Western,Total Area  in Sq.km,2297.0
Myagdi,Dhawalagiri,Hill,Western,Type of Road Black Topped,0.0
Myagdi,Dhawalagiri,Hill,Western,Type of Road Graveled ,10.0
Myagdi,Dhawalagiri,Hill,Western,Type of Road Earthern,21.0
Myagdi,Dhawalagiri,Hill,Western,Total Road,31.0
Myagdi,Dhawalagiri,Hill,Western,Population Influence per km Road,3666.0
Myagdi,Dhawalagiri,Hill,Western,Road Density (km./100 sq.km.),1.0
Parbat,Dhawalagiri,Hill,Western,Population 2011,146590.0
Parbat,Dhawalagiri,Hill,Western,Total Area  in Sq.km,494.0
Parbat,Dhawalagiri,Hill,Western,Type of Road Black Topped,24.11
Parbat,Dhawalagiri,Hill,Western,Type of Road Graveled ,0.0
Parbat,Dhawalagiri,Hill,Western,Type of Road Earthern,26.5
Parbat,Dhawalagiri,Hill,Western,Total Road,50.61
Parbat,Dhawalagiri,Hill,Western,Population Influence per km Road,2896.0
Parbat,Dhawalagiri,Hill,Western,Road Density (km./100 sq.km.),10.0
Baglung,Dhawalagiri,Hill,Western,Population 2011,268613.0
Baglung,Dhawalagiri,Hill,Western,Total Area  in Sq.km,1784.0
Baglung,Dhawalagiri,Hill,Western,Type of Road Black Topped,6.34
Baglung,Dhawalagiri,Hill,Western,Type of Road Graveled ,5.79
Baglung,Dhawalagiri,Hill,Western,Type of Road Earthern,89.0
Baglung,Dhawalagiri,Hill,Western,Total Road,101.13
Baglung,Dhawalagiri,Hill,Western,Population Influence per km Road,2656.0
Baglung,Dhawalagiri,Hill,Western,Road Density (km./100 sq.km.),6.0
Gulmi,Lumbini,Hill,Western,Population 2011,280160.0
Gulmi,Lumbini,Hill,Western,Total Area  in Sq.km,1149.0
Gulmi,Lumbini,Hill,Western,Type of Road Black Topped,44.54
Gulmi,Lumbini,Hill,Western,Type of Road Graveled ,0.0
Gulmi,Lumbini,Hill,Western,Type of Road Earthern,79.0
Gulmi,Lumbini,Hill,Western,Total Road,123.54
Gulmi,Lumbini,Hill,Western,Population Influence per km Road,2268.0
Gulmi,Lumbini,Hill,Western,Road Density (km./100 sq.km.),11.0
Palpa,Lumbini,Hill,Western,Population 2011,261180.0
Palpa,Lumbini,Hill,Western,Total Area  in Sq.km,1373.0
Palpa,Lumbini,Hill,Western,Type of Road Black Topped,108.59
Palpa,Lumbini,Hill,Western,Type of Road Graveled ,0.0
Palpa,Lumbini,Hill,Western,Type of Road Earthern,39.0
Palpa,Lumbini,Hill,Western,Total Road,147.59
Palpa,Lumbini,Hill,Western,Population Influence per km Road,1770.0
Palpa,Lumbini,Hill,Western,Road Density (km./100 sq.km.),11.0
Nawalparasi,Lumbini,Terai,Western,Population 2011,643508.0
Nawalparasi,Lumbini,Terai,Western,Total Area  in Sq.km,2162.0
Nawalparasi,Lumbini,Terai,Western,Type of Road Black Topped,151.07
Nawalparasi,Lumbini,Terai,Western,Type of Road Graveled ,23.8
Nawalparasi,Lumbini,Terai,Western,Type of Road Earthern,29.0
Nawalparasi,Lumbini,Terai,Western,Total Road,203.87
Nawalparasi,Lumbini,Terai,Western,Population Influence per km Road,3156.0
Nawalparasi,Lumbini,Terai,Western,Road Density (km./100 sq.km.),9.0
Rupandehi,Lumbini,Terai,Western,Population 2011,880196.0
Rupandehi,Lumbini,Terai,Western,Total Area  in Sq.km,1360.0
Rupandehi,Lumbini,Terai,Western,Type of Road Black Topped,130.19
Rupandehi,Lumbini,Terai,Western,Type of Road Graveled ,19.0
Rupandehi,Lumbini,Terai,Western,Type of Road Earthern,14.5
Rupandehi,Lumbini,Terai,Western,Total Road,163.69
Rupandehi,Lumbini,Terai,Western,Population Influence per km Road,5377.0
Rupandehi,Lumbini,Terai,Western,Road Density (km./100 sq.km.),12.0
Kapilbastu,Lumbini,Terai,Western,Population 2011,571936.0
Kapilbastu,Lumbini,Terai,Western,Total Area  in Sq.km,1738.0
Kapilbastu,Lumbini,Terai,Western,Type of Road Black Topped,139.97
Kapilbastu,Lumbini,Terai,Western,Type of Road Graveled ,54.0
Kapilbastu,Lumbini,Terai,Western,Type of Road Earthern,29.0
Kapilbastu,Lumbini,Terai,Western,Total Road,222.97
Kapilbastu,Lumbini,Terai,Western,Population Influence per km Road,2565.0
Kapilbastu,Lumbini,Terai,Western,Road Density (km./100 sq.km.),13.0
Arghakhanchi,Lumbini,Hill,Western,Total Area  in Sq.km,197632.0
Arghakhanchi,Lumbini,Hill,Western,Type of Road Black Topped,1193.0
Arghakhanchi,Lumbini,Hill,Western,Type of Road Graveled ,58.91
