Project Title,Country,Project ID,Commitment Amount,Status,Approval Date
Education Project (03),Nepal,P010208,8.40,Closed,"DEC 13, 1984"
Highway Project (03),Nepal,P010206,47.50,Closed,"AUG 28, 1984"
Power Project - Marsyangdi,Nepal,P010200,107.00,Closed,"MAY 22, 1984"
Primary Education Project,Nepal,P010199,12.80,Closed,"APR 24, 1984"
Power Project - Karnali,Nepal,P010197,11.00,Closed,"MAR 20, 1984"
Forestry Project (02),Nepal,P010192,18.00,Closed,"JUL 12, 1983"
Technical Assistance Project (02),Nepal,P010189,6.00,Closed,"JUN 02, 1983"
Cash Crop Development Project,Nepal,P010182,6.00,Closed,"MAR 22, 1983"
Bhairawa - Lumbini Groundwater Project (02),Nepal,P010179,16.00,Closed,"JAN 18, 1983"
Petroleum Exploration Promotion Project,Nepal,P010175,9.20,Closed,"JUN 10, 1982"
Education Project (02),Nepal,P010166,14.30,Closed,"DEC 22, 1981"
Cottage and Small Industries Project,Nepal,P010165,6.50,Closed,"NOV 24, 1981"
Hill Food Production Project,Nepal,P010153,8.00,Closed,"FEB 03, 1981"
Agricultural Extension and Adaptive Research Project,Nepal,P010154,17.50,Closed,"FEB 03, 1981"
Babai Irrigation Engineering Project,Nepal,P010152,3.50,Closed,"JAN 06, 1981"
Grain Storage Project,Nepal,P010149,6.20,Closed,"AUG 26, 1980"
Water Supply and Sewerage Project (03),Nepal,P010148,27.00,Closed,"JUL 29, 1980"
Mahakali Irrigation - Stage Project (01),Nepal,P010147,16.00,Closed,"JUN 26, 1980"
Community Forestry Project,Nepal,P010141,17.00,Closed,"APR 22, 1980"
Rural Development Project (02),Nepal,P010134,11.00,Closed,"JUN 21, 1979"
KULEKHANI-POWER I SU,Nepal,P010131,14.80,Closed,"MAY 10, 1979"
Narayani Zone Irrigation and Development - Stage Project (02),Nepal,P010125,14.00,Closed,"OCT 10, 1978"
Irrigation - Sunsari Morang Project (01),Nepal,P010120,30.00,Closed,"MAY 25, 1978"
Telecommunications Project (03),Nepal,P010119,14.50,Closed,"MAY 11, 1978"
Technical Education Project,Nepal,P010117,5.70,Closed,"FEB 28, 1978"
Highway Project (02),Nepal,P010112,17.00,Closed,"JUL 07, 1977"
W/S I SUPPLEMENT,Nepal,P010109,4.00,Closed,"MAY 03, 1977"
Nepal Industrial Development Corporation Project,Nepal,P010110,4.00,Closed,"MAY 03, 1977"
Water Supply and Sewerage Project (02),Nepal,P010108,8.00,Closed,"APR 26, 1977"
Technical Assistance Project,Nepal,P010099,3.00,Closed,"SEP 07, 1976"
Bhairawa - Lumbini Groundwater Project,Nepal,P010098,9.00,Closed,"JUL 06, 1976"
Rural Development Project (01),Nepal,P010093,8.00,Closed,"FEB 24, 1976"
Kulekhani Hydroelectric Project,Nepal,P010091,26.00,Closed,"DEC 23, 1975"
Settlement Project,Nepal,P010082,6.00,Closed,"JUN 13, 1974"
Water Supply and Sewerage Project,Nepal,P010079,7.80,Closed,"APR 30, 1974"
Telecommunication Project (02),Nepal,P010074,5.50,Closed,"APR 26, 1973"
Birganj Irrigation Project - Narayani Zone,Nepal,P010072,6.00,Closed,"MAR 20, 1973"
Katmandu Tourism Project,Nepal,P010070,4.20,Closed,"MAR 14, 1972"
Highway Project,Nepal,P010069,2.50,Closed,"NOV 10, 1970"
NP Access to Financial Services Project,Nepal,P105289,27.00,Dropped,
Nepal: Post-Conflict Recovery Program,Nepal,P106540,60.00,Dropped,
"Nepal, HIV / AIDS Control Program",Nepal,P107588,10.00,Dropped,
Kabeli-A Hydro Electric Project,Nepal,P122406,42.00,Pipeline,
Enhancing Resilience of Endangered Species to Climate Change,Nepal,P130015,5.00,Pipeline,
Kali Gandaki A Hydropower Plant Rehabilitation Project (KGAHPRP),Nepal,P132289,27.26,Pipeline,
Nepal Financial Sector Reform,Nepal,P049384,50.00,Dropped,
Terai Groundwater Irrigation Project,Nepal,P050672,21.80,Dropped,
Kathmandu Water Supply and Sanitation Project,Nepal,P067602,15.00,Dropped,
Telecommunications Project,Nepal,P010061,1.70,Closed,"NOV 04, 1969"
